Title,Artist,Category,Release Date,Lyric
Home - 임영웅,임영웅,댄스,2024.05.06,쓸쓸한 거리에|외로움이 더 쌓이고|사람도 이 밤도|사랑 찾아 헤매이네||그대 마음이 허전하다면|밤 하늘의 별을 보며 날 떠올려요|난 곁에 있어||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining Star|And I Go! Don't stop baby|평생 너와 함께 하리라||쓸쓸한 거리에|외로움이 더 쌓이고|사람도 이 밤도|사랑 찾아 헤매이네||그대 마음이 지쳐있다면|단 하루도 울지 말고 날 떠올려요|난 곁에 있어||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining Star|And I Go! Don't stop baby|평생 너와 함께 하리라||When you feel so alone|Remember that I’m with you|너와 함께라면 어디든 내가 갈게|어디든 다 갈게||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining star|And I Go! Don't stop baby|평생 너와 함께 하리라||
다시 만날 수 있을까 - 임영웅,임영웅,발라드,2022.05.02,너를 위해 해 줄 것이 하나 없어서|보낼 수밖에 없었고|네가 없이 사는 법을 알지 못해서|순간순간을 울었다|후회로 가득한 한숨 자락이|시린 바람처럼|가슴 치는 날 그 언젠가|우리 만날 수 있을까|다시 만날 수 있을까|그리 좋던 예전처럼 그때처럼|되돌아갈 수 있을까|다시 우리가 만나면|무엇을 해야만 할까|서로를 품에 안고서|하염없이 눈물만 흘려볼까|붙잡을 마음이야 없었겠냐마는|그때 난 부끄러웠다|떳떳하게 일어나 널 다시 찾아갈|뜨거운 꿈만 꾸었다|둘이 함께 했던 순간순간이|시린 폭포처럼|쏟아지는 날 그 언젠가|우리 만날 수 있을까|다시 만날 수 있을까|그리 좋던 예전처럼 그때처럼|되돌아갈 수 있을까|다시 우리가 만나면|무엇을 해야만 할까|서로를 품에 안고서|하염없이 눈물만 흘려볼까|그리운 마음이 서럽게 흘러넘쳐|너에게 닿을 때|우리 만날 수 있을까|다시 만날 수 있을까|그리 좋던 예전처럼 그때처럼|되돌아갈 수 있을까|다시 우리가 만나면|무엇을 해야만 할까|서로를 품에 안고서|하염없이 눈물만 흘려볼까|
비의 랩소디 - 임재현,임재현,발라드,2023.12.03,이젠 눈물 그쳐 나를 봐요|우는 그대 더 아름다워|내게 이 모습조차 더 남지 않도록|그냥 고개 돌려요|그저 미안한 마음뿐이죠|그댈 위해 해줄 게 없어|모두 이해할게요 그댈 아끼는 맘|그분들도 같을 거란 걸||한참 동안을 비틀거렸죠|그댈 사랑했던 그만큼|떠나가요 아주 먼 곳으로|그대 소식 내게 올 수 없을 그만큼|다 잊어요 내겐 마지막이 될|사람도 모두 다 버려두고 갈게요||나를 위해 많이 애썼단 걸|알고 있죠 난 감사해요|허나 이룰 수 없는 건 어쩔 수 없죠|내가 용기 낼게요 이젠|죽는 날까지 사랑한대도|가질 수 없는 그대인걸||떠나가요 아주 먼 곳으로|그대 소식 내게 올 수 없을 그만큼|다 잊어요 내겐 마지막이 될|사람도 모두 다 버려두고 갈게요||떠나가요 아주 먼 곳으로|그대 소식 내게 올 수 없을 그만큼|혹시라도 내가 그리울 때면|세상에 내가 없다고 믿어요
Do or Die - 임영웅,임영웅,댄스,2023.10.09,함성이 번져 숨이 차올라|이 밤의 주인공 쏟아진 Spotlight|멈추지 마라 힘껏 외쳐봐|우리 오늘 후회 없도록|더 두려울 것이 없어 타오르는 너의 heart beat|모두가 함께 미쳐 하늘로 높이 뛰어|열정을 채워줄게 날 따라 함께하게|Let’s Go  Go Baby|나만 믿고 따라와 따라와|너를 위해 난 노래할 거야|심장소리 난리 나 난리 나|Put your hands up in the air|Just raise your hands|미쳐 이 순간|Tonight It's Do or Die|Tonight It's Do or Die|세상을 뒤흔들어 봐  뛰어봐|Move your body like It's Do or Die|Woah|Woah|Like It's Do or Die|Woah|Woah|Like It's Do or Die|나사 하나 빠진 것처럼 막|향기에 취해버린 것처럼 now|오직 너만의 영웅이 되어|모든 걱정을 다 막아줄게|오늘 밤 우린 Party Time|분위기를 전부 휘어잡아|맘이 시키는 그대로 춤춰|나만 믿고 따라와 따라와|너를 위해 난 노래할 거야|심장소리 난리 나 난리 나|Put your hands up in the air|[Hook]|Just raise your hands|미쳐 이 순간|Tonight It's Do or Die|Tonight It's Do or Die|세상을 뒤흔들어 봐  뛰어봐|Move your body like It's Do or Die|Woah|Woah|Like It's Do or Die|Woah|Woah|Like It's Do or Die|가슴 벅찬 이 순간 (Right Now)|Let's turn up|Let's get loud|기억해 오늘 너와 나 (You and I)|Let's get loud|Just raise your hands|미쳐 이 순간|Tonight Let’s Do or Die|Tonight Let’s Do or Die|세상을 뒤흔들어 봐  뛰어봐|Move your body like It's do or die|Woah|Woah|Like It's Do or Die|Woah|Woah
이제 나만 믿어요 - 임영웅,임영웅,성인가요/트로트,2020.04.03,무얼 믿은 걸까 부족했던 내게서|나조차 못 믿던 내게 여태 머문 사람|무얼 봤던 걸까 가진 것도 없던 내게|무작정 내 손을 잡아 날 이끈 사람|최고였어|그대 눈 속에 비친 내 모습|이제는 내게서 그댈 비춰줄게|궂은 비가 오면|세상 가장 큰 그대 우산이 될게|그댄 편히 걸어가요|걷다가 지치면|내가 그대를 안고 어디든 갈게|이제 나만 믿어요|나만 두고 가던|나만 스쳐 간 행운이 모여|그대가 되어서 내게 와준 거야|궂은 비가 오면|세상 가장 큰 그대 우산이 될게|그댄 편히 걸어가요|걷다가 지치면|내가 그대를 안고 어디든 갈게|이제 나만 믿어요|나의 마지막 주인공이 되어|다신 누구 앞에서도|그대는 고개 숙이지 마요|내가 보지 못했던 홀로 고단했던 시간|고맙고 미안해요 사랑해요|이 세상은|우리를 두고 오랜 장난을 했고|우린 속지 않은 거야|이제 울지 마요|좋을 땐 밤새도록 맘껏 웃어요|전부 그대 꺼니까|그대는 걱정 말아요|이제 나만 믿어요|
무지개 - 임영웅,임영웅,록/메탈,2022.05.02,오늘 하루 어땠었나요|많이 힘들었나요|쉬지 않고 달려왔던 길에서|나와 함께 쉬어가요|그냥 아무런 준비도 없이|떠나볼까요|평범해도 좋으니까|우리 함께 가요|Du Du Du Du Du|행복 가득 담은 배낭 하나 메고서|답답했던 일상과 도심을 벗어나|Du Du Du Du|Du Du Du Du|떠나볼래요|힘껏 살다 보니 무뎌져|헝클어진 머리도|괜찮다며 그댈 안아줄 사람|바로 그대 곁에 있죠|까만 선글라스 하나 챙겨서|떠나볼까요|평범해도 좋으니까|우리 함께 가요|Du Du Du Du Du|행복 가득 담은 배낭 하나 메고서|답답했던 일상과 도심을 벗어나|Du Du Du Du|Du Du Du Du|떠나볼래요|우리 함께 가요|Du Du Du Du Du|행복 가득 담은 배낭 하나 메고서|답답했던 일상과 도심을 벗어나|Du Du Du Du|Du Du Du Du|떠나볼래요|우리 함께 가요|Du Du Du Du Du|Du Du Du Du|Du Du Du Du|떠나볼래요|Du Du Du Du|Du Du Du Du|떠나볼래요|Du Du Du Du|Du Du Du Du|지금 떠나요|
London Boy - 임영웅,임영웅,록/메탈,2022.11.15,꿈에 그리던 그곳 난 여기 있어|저 푸른 바다 위로 널 닮은 하늘|I’m in London oh |I’m in London  yeah|드넓은 공원 안에 널 담은 향기|가는 모든 곳마다 난 네가 보여|I’m in London |yeah  I’m in London  oh|나지막한 소리가 들려와|수많은 별들 사이 너에게|Baby baby baby my baby|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|Hold me tight baby |you’re my everything|널 만나고 난 변했어|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|I’m London  London Boy|Oh oh no no no|London Boy yeah|셰익스피어  처칠  비틀즈  숀 코네리|해리포터  데이비드 베컴 모든 게 있어|Baby You are my London Girl|행복은 너와 함께 즐기는 거야|내 모든 걸 다 줘도 아깝지 않아|너는 내게  Oh|그런 사람  Oh|나지막한 소리가 들려와|수많은 별들 사이 너에게|Baby baby baby my baby|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|Hold me tight baby |you’re my everything|널 만나고 난 변했어|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|I’m London  London Boy|널 만나고 내가 변했다|Oh  I’m London Boy|Baby baby baby my baby|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|Hold me tight baby |you’re my everything|널 만나고 난 변했어|세상 누구보다 널 사랑해|모든 힘 다해 너를 불러|I’m London  London Boy|La la la la la la la la|La la la la la la la la|La la la la la la la la|I’m London  London Boy|La la la la la la la la|La la la la la la la la|La la la la la la la la|London Boy|London Boy|London Boy
Polaroid - 임영웅,임영웅,록/메탈,2022.11.15,별들이 짙던 밤 하늘에 약속한 고백|아직도 맘에|당연하듯 남아 있어요|어제 일같이 선명하네요|가슴 저리는 게 사랑이 아니라|그 누가 뭐라던가  오|심장이 뛰는데 아프게 뛰는데|이게 사랑인 거야|운명 같은 밤 너를 만나|영원하자고 외쳤던 그 밤|네가 날 잊어도|난 널 꺼내 볼 테니까 언제나|내 맘속 사진첩 한 켠엔 그대가 있지|참 행복했지 때론 아픈 날이 있어도|버릴 수 없는 추억이 됐지|가슴 저리는 게 사랑이 아니라|그 누가 뭐라던가  오|심장이 뛰는데 아프게 뛰는데|이게 사랑인 거야|운명 같은 밤 너를 만나|영원하자고 외쳤던 그 밤|네가 날 잊어도|난 널 꺼내 볼 테니까 언제나|우~ 예~|우~|네가 날 잊어도|난 널 꺼내 볼 테니까 언제나|한 장씩 널 기억하며 보낼게|우리 모든 순간 가슴 떨리던 날|모든 날이 따스하게 감싸준|널 사랑했다|운명 같은 밤 너를 만나|셀 수 없이 많은 날 함께 했지|사랑했어요 아주 많이|사진첩 속의 그대여|영원히 기억할게 시간이 지나도|언제나|
에피소드 - 이무진,이무진,록/메탈,2023.12.13,나는 말야|버릇이 하나|있어 그건 매일 잠에 들 시간마다|잘 모아둔 기억 조각들 중|잡히는 걸 집은 후|혼자 조용히 꼬꼬무||이걸 난|궁상이란|이름으로 지었어 고민 고민하다가|아무튼 뭐 오늘은 하필이면|너가 스쳐버려서|우리였을 때로|우리 정말 좋았던 그때로||우리의 에피소드가|찬란하게 막을 연다|배경은 너의 집 앞|첫 데이트가 끝난|둘만의 에피소드가|참 예쁜 얘기로 시작|자작자작 조심스런 대화|그새 늦은 시간||굿바이|좋은 뜻일 뿐인 굿바이|With a happy smile|이게 이 스토리의 서막|눈 내리던 그 밤|겨울 향이 배어서|더 눈부신|우리의 에피소드다||매일이 마지막인 듯이|함께라면 어디든지|사랑이란 걸 끝도 없이|주고받고 나눴어 그치?|서로만 있음 마음이|시릴 날이 없던 우리|넌 오아시스 내겐 마치||근데 있잖아|별 소용없다?|생각만 해도 행복한 순간들은 말야|모른 척해도 결국엔 이건|끝을 봤던 에피소드|점점 점점 점점||우리의 에피소드가|결말에 가까워져가|곧 새드 엔딩이다|크레딧엔 너와 나|둘만의 에피소드가|참 쓸쓸한 끝을 맞아|두 주인공의 서글픈 마지막|결국 건넨 인사||굿바이|너무 아픈 이별의 굿바이|눈물이 뺨을 스쳐|도착한 입가엔 미소|애써 웃고 있어|우린 서로를 보며|첨 같던 미소로 안녕|웃으며 안녕||눈 뜨면 에필로그다|침대에 기대어 혼자|펑펑 울고 있는 나|이 궁상 밖의 난|둘만의 에피소드완|전혀 다른 모습 난 그날|돌아서지 말았어야 했다|널 안았어야 했다||그 밤|눈꽃이 널 덮은 그 밤의|향을 잊음과|함께 잃었던 따스함|춥게 눈을 뜬다|겨울밤이 되어서|맞이한 향이|우리의 에피소드다
인생찬가 - 임영웅,임영웅,발라드,2022.05.02,꿈처럼 지나간 시간|나는 무얼 찾고 싶었나|지도도 없이 걸어온 삶을|후회하진 않으리|떠난 어제는 떠날 오늘로|남겨지기도 하지|나의 친구여 나의 형제여|내 이름 불러주오|미안하다 나의 인생아|앞만 보며 살아왔구나|찬란한 순간이여 영원하라|내일은 처음 가는 길|언제나처럼 또 두려워|버들강아지 활짝 웃는 날|후회하지 않으리|비가 내리면 노래하리|눈이 내려도 좋아|나의 친구여 나의 형제여|내 이름 불러 주오|미안하다 나의 인생아|앞만 보며 살아왔구나|찬란한 순간이여 영원하라|영원한 순간이여 찬란하라|
To. X - 태연 (TAEYEON),태연 (TAEYEON),R&B/Soul,2023.11.27,처음 본 널 기억해|We skipped the small talk|바로 다음 단계였지 뭐|단점이라곤 없는 게 단점이라던|그 허세도 마냥 좋았어||하지만 내 일기가|재미없어진 이유|내가 없어진 나의|매일들은 허전해||좀 이상해 왜 둘 사이에|너만 너만 보이는 걸까|난 까다롭고 힘든 아이라|그런 피곤한 생각만 한대||오늘 나눈 문자 속에|새로 산 티셔츠|그 얘기뿐이야|이제야 난 알 것 같아|Gonna block you|불을 꺼 To. X||그 좋아했던 립스틱|싫단 말에 버린|널 좋아했던 만큼|다 맞추려 했어||‘나 아님 누가|그런 세상 안아주겠어’|그 말이 그땐 그리|달콤했던 거야 Oh no||새벽의 긴 통화도|이젠 피곤해졌어|Every day  every night|나로 채우고 싶어||좀 이상해 왜 둘 사이에|너만 너만 보이는 걸까|난 까다롭고 힘든 아이라|그런 피곤한 생각만 한대||오늘 나눈 문자 속에|새로 산 티셔츠|그 얘기뿐이야|이제야 난 알 것 같아|Gonna block you|불을 꺼 To. X||Gonna block you|불을 꺼 To. X||Say Bye|Gonna block you|불을 꺼 To. X||깜빡거리는|흔들거리는 Light|Gonna block you|불을 꺼 To. X||좀 이상해 왜 둘 사이에|너만 너만 보이는 걸까|(너만 보일까)|난 까다롭고 힘든 아이라|그런 피곤한 생각만 한대||오늘 나눈 문자 속에|(이제 불을 꺼)|새로 산 티셔츠|그 얘기뿐이야|이제야 난 알 것 같아|Gonna block you|불을 꺼 To. X||Gonna block you|불을 꺼 To. X
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)) - 너드커넥션 (Nerd Connection),너드커넥션 (Nerd Connection),발라드,2023.08.15,날 사랑해서 떠난다며|눈물짓던 그대의 말을 믿을 수 없죠|하지만 나의 전부였던|그대가 힘들어하기에 잡을 수 없었죠||온통 너와의 기억뿐인|나를 위해서였다면|조금씩 무너져가는 날|날 위한다면||이대로 내 곁에 있어야 해요|나를 떠나면 안 돼요|세상의 모든 걸 잃어도 괜찮아요|그대만 있다면 그대만 있다면||함께 웃던 시간들을|함께했던 약속들을|지금 또 영원히 기억하겠어요|다시 한번 생각해요|무엇이 날 위한 건지|그대는 알고 있어요||영원히 내 곁을 지켜주세요|나를 떠나지 말아요|세상의 모든 걸 잃어도 난 좋아요|그대만 있다면 그대만 있다면||온통 그대의 생각뿐인|나를 위해서였다면|초라하게 쓰러지는 날|날 위한다면||이대로 내 곁에 있어야 해요|나를 떠나면 안 돼요|세상의 모든 걸 잃어도 괜찮아요|그대만 있다면 그대만 있다면||영원히 내 곁을 지켜주세요|나를 떠나지 말아요|세상의 모든 걸 잃어도 난 좋아요|그대만 있다면 그대만 있다면
EASY - LE SSERAFIM (르세라핌),LE SSERAFIM (르세라핌),랩/힙합,2024.02.19,|다친대도 길을 걸어 kiss me|쉽지 않음 내가 쉽게 easy|Stage 위엔 불이 튀어  내 body|Pull up and I rip it up like ballet||Damn  I really make it look easy|Yuh know that I make it look easy||Clap your hands  너도 나와 같다면 clap your hands now|의구심 따윈 그냥 치워  그냥 말해 “I’m the real one”||조명 꺼진 뒤의 난 wander in the night|Don’t know what is right  don’t know ‘bout my rights|시기심  의심  불신  이젠 friends of me  yuh|세상에게 난 반쪽짜리 seraphim  yuh||Uhm I’ve been tryin’ so long to show you show you show you|I’m the one that you need||다친대도 길을 걸어 kiss me|쉽지 않음 내가 쉽게 easy|Stage 위엔 불이 튀어  내 body|Pull up and I rip it up like ballet||Damn  I really make it look easy|Yuh know that I make it look easy||Yah know that I make it look easy|수면 위의 백조가 돼 whippin’|때론 풀려  나의 다리 but I keep it|Get  set  go  come and see me  I’m the FEARLESS||나의 발걸음은 매 순간 history  이건 my way|영웅처럼 걸어 even if I am not flawless|편하게만 왔다고?|날 몰라봤다면 you have to know||Uhm I’ve been tryin’ so long to show you show you show you|I’m the one that you need||다친대도 길을 걸어 kiss me|쉽지 않음 내가 쉽게 easy||Stage 위엔 불이 튀어  내 body|Pull up and I rip it up like ballet||Damn  I really make it look easy|Yuh know that I make it look easy||
연애편지 - 임영웅,임영웅,포크/블루스,2022.05.02,노을에 물든 저녁 하늘이|오랜만에 참 좋은 저녁입니다|문득 떠오른 그대 생각에|나지막이 이름을 불러봅니다|나도 몰래 꺼내 본 낡은 수첩엔|그대가 너무도 많아|차마 그립단 말 대신|꽃잎을 넣어 보내며|하얀 종이에 하지 못한 말|아직 그댄 내 고운 사랑입니다|외로이 스쳐 창을 흔드는|바람 소리 쓸쓸한 시간입니다|어둠 만들고 초를 태우며|나지막이 그대를 불러봅니다|나도 몰래 꺼내 본 낡은 사진엔|그대가 너무도 많아|차마 그립단 말 대신|바라본 밤하늘에는|아스라이 먼 작은 별 하나|외로이 홀로 남아 깜박입니다|그대를 닮은 작은 별 하나|외로이 홀로 남아 깜박입니다|그대 고운 이름은 사랑입니다|
Hype Boy - NewJeans,NewJeans,댄스,2022.08.01,(1 2 3 4)|Baby  got me looking so crazy|빠져버리는 daydream|Got me feeling you|너도 말해줄래||누가 내게 뭐라든|남들과는 달라 넌|Maybe you could be the one||날 믿어봐 한번|I’m not looking for just fun|Maybe I could be the one||Oh baby|예민하대 나 lately|너 없이는 매일 매일이 yeah|재미없어 어쩌지||I just want you|Call my phone right now|I just wanna hear you’re mine||‘Cause I know what you like boy|You’re my chemical hype boy|내 지난날들은|눈 뜨면 잊는 꿈|Hype boy 너만 원해|Hype boy 내가 전해||And we can go high|말해봐 yeah|느껴봐 mm mm|Take him to the sky|You know I hype you boy||눈을 감아|말해봐 yeah|느껴봐 mm mm|Take him to the sky|You know I hype you boy||잠에 들려고 잠에 들려 해도|네 생각에 또 새벽 세 시 uh-oh|알려줄 거야 they can’t have you no more|봐봐 여기 내 이름 써있다고|누가 내게 뭐라든|남들과는 달라 넌|Maybe you could be the one||날 믿어봐 한번|I’m not looking for just fun|Maybe I could be the one||Oh baby|예민하대 나 lately|너 없이는 매일 매일이 yeah|재미없어 어쩌지||I just want you|Call my phone right now|I just wanna hear you’re mine||‘Cause I know what you like boy|You’re my chemical hype boy|내 지난날들은|눈 뜨면 잊는 꿈|Hype boy 너만 원해|Hype boy 내가 전해||And we can go high|말해봐 yeah|느껴봐 mm mm|Take him to the sky|You know I hype you boy||눈을 감아|말해봐 yeah|느껴봐 mm mm|Take him to the sky|You know I hype you boy|
Smart - LE SSERAFIM (르세라핌),LE SSERAFIM (르세라핌),R&B/Soul,2024.02.19,"|I’m a smarter baby  smarter|Smarter baby  smarter|하날 보면 열까지|간파해서 돌파하지||Wanna be a winner|Wanna be a winner|계획대로 돼가지|난 나비가 될 애송이||원하는 건 승리란 놈|I call it “sugar”|Plan대로라면 놓칠 리가 없지|내 sugar  sugar||누군 말해  내가 mean-mean-mean-mean-mean|신경 안 써 쉿 쉿 쉿 쉿 쉿|내 패배 위에 필 아름다움 대신|더 강한 이름 ""villain""을 택했지||So 그게 바로 me-me-me-me-me|내겐 보여  see-see-see-see-see|르세라핌 날 이끌어 to victory||I’m a smarter baby  smarter|Smarter baby  smarter|하날 보면 열까지|간파해서 돌파하지||Wanna be a winner|Wanna be a winner|계획대로 돼가지|난 나비가 될 애송이|I’m a smarter baby||Work hard in secret|아귀가 착착 맞게|I planned that  don’t be mad||Plan대로라면 난 될 수가 없지|그 loser  loser||누군 말해  내가 mean-mean-mean-mean-mean|신경 안 써 쉿 쉿 쉿 쉿 쉿|내 패배 위에 필 아름다움 대신|더 강한 이름 ""villain""을 택했지||So I just wanna be me-me-me-me|내겐 보여  see-see-see-see-see|르세라핌 날 이끌어 to victory||I’m a smarter baby  smarter|Smarter baby  smarter|하날 보면 열까지|간파해서 돌파하지||Wanna be a winner|Wanna be a winner|계획대로 돼가지|난 나비가 될 애송이|I’m a smarter baby||내 시계는 tick-tock|필요했던 shortcut|찾아내고 난 잡았지  huh||누구는 말해  “that’s all luck”|난 말해  “no  it’s not luck""|내 땀은 not lying  lying||Don’t slow down  이 삶은 superfast|Best scheme  내 머릿속에|갓생  난 준비를 끝냈어||Dinner of the winner |That is what I want to get||I’m a smarter baby  smarter|Smarter baby  smarter|하날 보면 열까지|간파해서 돌파하지||Wanna be a winner|Wanna be a winner|계획대로 돼가지|난 나비가 될 애송이|I’m a smarter baby||"
Welcome to the Show - DAY6 (데이식스),DAY6 (데이식스),록/메탈,2024.03.18,이젠 혼자가 아닐 무대|너무나 감격스러워|끝없는 가능성 중에|날 골라줘서 고마워||나와 맞이하는 미래가|위태로울지도 몰라|하지만 눈물 가득한|감동이 있을지도 몰라||그래도|내 손|놓지 않겠다면|If so|Then let's go|Welcome to the show||Oh||이것만큼은 맹세할게|내 전부를 다 바칠게|네 눈빛 흔들리지 않게|널 바라보며 서 있을게||알아 너의 결정이|쉽지 않았을 거야|후회 없게 하는 건|이제 나의 몫이야||끝까지|같이|함께 가겠다면|If so|Then let's go|Welcome to the show||Oh||이것만큼은 맹세할게|내 전부를 다 바칠게|네 눈빛 흔들리지 않게|널 바라보며 서 있을게||막이 내릴 그날에도|그때도 네 손 꼭 잡은 채||너라서 행복했다고|서로가 말할 수 있도록||이것만큼은 맹세할게|내 전부를 다 바칠게|네 눈빛 흔들리지 않게|널 바라보며 서 있을게||Oh|Oh
헤어지자 말해요 - 박재정,박재정,발라드,2023.04.20,헤어지자고 말하려 오늘|너에게 가다가 우리 추억 생각해 봤어|처음 본 네 얼굴|마주친 눈동자|가까스로 본 너의 그 미소들|손을 잡고 늘 걷던 거리에|첫눈을 보다가 문득 고백했던 그 순간|가보고 싶었던 식당|난생처음 준비한 선물|고맙다는 너의 그 눈물들이|바뀔까 봐 두려워|그대 먼저 헤어지자 말해요|나는 사실 그대에게 좋은 사람이 아녜요|그대 이제 날 떠난다 말해요|잠시라도 이 행복을 느껴서 고마웠다고|시간이 지나고 나면 나는|어쩔 수 없을 걸 문득 너의 사진 보겠지|새로 사귄 친구 함께|웃음 띤 네 얼굴 보면|말할 수 없을 묘한 감정들이|힘들단 걸 알지만|그대 먼저 헤어지자 말해요|나는 사실 그대에게 좋은 사람이 아녜요|그대 이제 날 떠난다 말해요|잠시라도 이 행복을 느껴서 고마웠다고|한 번은 널 볼 수 있을까|이기적인 거 나도 잘 알아|그땐 그럴 수밖에 없던|어린 내게 한 번만 더 기회를 주길|그댈 정말 사랑했다 말해요|나는 사실 그대에게|좋은 사람이 되고 싶었어|영영 다신 못 본다 해도|그댈 위한 이 노래가|당신을 영원히 사랑할 테니|
